id,Source,created_at,retweeted_status.created_at,retweeted_status.user.screen_name,retweeted_status.user.id,retweeted_status.user.friends_count,retweeted_status.user.followers_count,user.screen_name,user.id,user.friends_count,user.followers_count,retweeted_status.retweet_count,retweeted_status.text,Time Difference,Weight,size,Target
795983016434671616,7.959829639093576e+17,13:35:14,13:35:01,jimmykimmel,26053643.0,488,8135767,Ryan_M_Unicomb,430589068,1752,940,1,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:00:13.000000000,664.6153846,0.53652968,795983016434671616
795983018368212992,7.959829639093576e+17,13:35:14,13:35:01,jimmykimmel,26053643.0,488,8135767,theriseofgomez,3435480864,5001,3929,2,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:00:13.000000000,664.6153846,0.785642871,795983018368212992
795983098894753792,7.959829639093576e+17,13:35:34,13:35:01,jimmykimmel,26053643.0,488,8135780,distortedstan,2288457919,1602,550,3,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:00:33.000000000,261.8181818,0.343320849,795983098894753792
795983099733639168,7.959829639093576e+17,13:35:34,13:35:01,jimmykimmel,26053643.0,488,8135780,itsveryverylate,22410360,1429,443,4,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:00:33.000000000,261.8181818,0.310006998,795983099733639168
795983134911328256,7.959829639093576e+17,13:35:42,13:35:01,jimmykimmel,26053643.0,488,8135780,SUFCBlade,43638751,634,347,5,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:00:41.000000000,210.7317073,0.547318612,795983134911328256
795983140015767552,7.959829639093576e+17,13:35:43,13:35:01,jimmykimmel,26053643.0,488,8135780,luizhsrodrigues,844085474,684,63,6,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:00:42.000000000,205.7142857,0.092105263,795983140015767552
795983148463034368,7.959829639093576e+17,13:35:45,13:35:01,jimmykimmel,26053643.0,488,8135779,BuczekJ,2656244951,1301,196,7,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:00:44.000000000,196.3636364,0.150653344,795983148463034368
795983165823348737,7.959829639093576e+17,13:35:50,13:35:01,jimmykimmel,26053643.0,488,8135779,Vic_Jr_,380943530,699,598,8,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:00:49.000000000,176.3265306,0.855507868,795983165823348737
795983181807845376,7.959829639093576e+17,13:35:53,13:35:01,jimmykimmel,26053643.0,488,8135779,DamnJackiee,58836892,1697,504,9,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:00:52.000000000,166.1538462,0.296994697,795983181807845376
795983185863704576,7.959829639093576e+17,13:35:54,13:35:01,jimmykimmel,26053643.0,488,8135778,JulianaGalvis09,7.13188E+17,252,61,10,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:00:53.000000000,163.0188679,0.242063492,795983185863704576
795983198849101824,7.959829639093576e+17,13:35:57,13:35:01,jimmykimmel,26053643.0,488,8135767,mikehonsberger,274763535,553,112,11,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:00:56.000000000,154.2857143,0.202531646,795983198849101824
795983200933859328,7.959829639093576e+17,13:35:58,13:35:01,jimmykimmel,26053643.0,488,8135778,Parth29192,2231584570,292,192,12,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:00:57.000000000,151.5789474,0.657534247,795983200933859328
795983212031934464,7.959829639093576e+17,13:36:01,13:35:01,jimmykimmel,26053643.0,488,8135779,OldManGeek88,311692649,1496,661,13,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:01:00.000000000,144,0.44184492,795983212031934464
795983219715805185,7.959829639093576e+17,13:36:02,13:35:01,jimmykimmel,26053643.0,488,8135768,Muh_Sadam,64938395,103,867,14,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:01:01.000000000,141.6393443,8.417475728,795983219715805185
795983230554042369,7.959829639093576e+17,13:36:05,13:35:01,jimmykimmel,26053643.0,488,8135779,GeorgeAtkins20,1695841352,1840,826,15,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:01:04.000000000,135,0.448913043,795983230554042369
795983232600801280,7.959829639093576e+17,13:36:05,13:35:01,jimmykimmel,26053643.0,488,8135779,Beubz11,455959611,251,110,16,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:01:04.000000000,135,0.438247012,795983232600801280
795983234257584128,7.959829639093576e+17,13:36:06,13:35:01,jimmykimmel,26053643.0,488,8135779,AmPrincessOfPop,1020777962,3839,5074,17,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:01:05.000000000,132.9230769,1.321698359,795983234257584128
795983242369400832,7.959829639093576e+17,13:36:08,13:35:01,jimmykimmel,26053643.0,488,8135779,boobinspecter69,3233851462,105,13,18,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:01:07.000000000,128.9552239,0.123809524,795983242369400832
795983244571222016,7.959829639093576e+17,13:36:08,13:35:01,jimmykimmel,26053643.0,488,8135768,Teesus,26342471,2163,3323,19,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:01:07.000000000,128.9552239,1.536292187,795983244571222016
795983275617583104,7.959829639093576e+17,13:36:16,13:35:01,jimmykimmel,26053643.0,488,8135779,wildestnights,2808653356,1021,1516,20,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:01:15.000000000,115.2,1.484818805,795983275617583104
795983288821227520,7.959829639093576e+17,13:36:19,13:35:01,jimmykimmel,26053643.0,488,8135778,RickSpears,15783150,960,1737,21,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:01:18.000000000,110.7692308,1.809375,795983288821227520
795983293917396992,7.959829639093576e+17,13:36:20,13:35:01,jimmykimmel,26053643.0,488,8135778,sethreznik,29476858,771,560,22,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:01:19.000000000,109.3670886,0.726329442,795983293917396992
795983300137537536,7.959829639093576e+17,13:36:22,13:35:01,jimmykimmel,26053643.0,488,8135778,jwpsr,21962442,1061,535,23,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:01:21.000000000,106.6666667,0.504241282,795983300137537536
795983371390304257,7.959829639093576e+17,13:36:39,13:35:01,jimmykimmel,26053643.0,488,8135780,215ProSports,3304426444,345,44,26,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:01:38.000000000,88.16326531,0.127536232,795983371390304257
795983377153331202,7.959829639093576e+17,13:36:40,13:35:01,jimmykimmel,26053643.0,488,8135780,ChrisMySass,61604640,588,1880,27,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:01:39.000000000,87.27272727,3.197278912,795983377153331202
795983403577286657,7.959829639093576e+17,13:36:46,13:35:01,jimmykimmel,26053643.0,488,8135769,fher24,150483415,463,393,28,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:01:45.000000000,82.28571429,0.848812095,795983403577286657
795983416055341057,7.959829639093576e+17,13:36:49,13:35:01,jimmykimmel,26053643.0,488,8135769,one9oo6,277722769,907,286,30,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:01:48.000000000,80,0.315325248,795983416055341057
795983423416496128,7.959829639093576e+17,13:36:51,13:35:01,jimmykimmel,26053643.0,488,8135780,bella_99,55163750,1181,956,31,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:01:50.000000000,78.54545455,0.809483489,795983423416496128
795983427774205952,7.959829639093576e+17,13:36:52,13:35:01,jimmykimmel,26053643.0,488,8135769,susmitchakrabo1,2156218140,1225,7765,32,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:01:51.000000000,77.83783784,6.33877551,795983427774205952
795983446359375872,7.959829639093576e+17,13:36:56,13:35:01,jimmykimmel,26053643.0,488,8135780,Kevwoodh24,3084647167,717,259,33,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:01:55.000000000,75.13043478,0.361227336,795983446359375872
795983451820171264,7.959829639093576e+17,13:36:58,13:35:01,jimmykimmel,26053643.0,488,8135769,IAmWanheda307,360252737,1493,235,34,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:01:57.000000000,73.84615385,0.157401206,795983451820171264
795983453657374720,7.959829639093576e+17,13:36:58,13:35:01,jimmykimmel,26053643.0,488,8135780,MattEPannell,118603693,1488,580,35,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:01:57.000000000,73.84615385,0.389784946,795983453657374720
795983454961737729,7.959829639093576e+17,13:36:58,13:35:01,jimmykimmel,26053643.0,488,8135769,0427curie,40638230,594,110,37,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:01:57.000000000,73.84615385,0.185185185,795983454961737729
795983458396815361,7.959829639093576e+17,13:36:59,13:35:01,jimmykimmel,26053643.0,488,8135769,alainemiranda,28262061,1265,748,39,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:01:58.000000000,73.22033898,0.591304348,795983458396815361
795983458040508417,7.959829639093576e+17,13:36:59,13:35:01,jimmykimmel,26053643.0,488,8135780,lildg54,22176444,338,779,39,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:01:58.000000000,73.22033898,2.304733728,795983458040508417
795983465065971713,7.959829639093576e+17,13:37:01,13:35:01,jimmykimmel,26053643.0,488,8135780,Brendan_Surrey,19455124,1435,1770,41,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:02:00.000000000,72,1.233449477,795983465065971713
795983469172183040,7.959829639093576e+17,13:37:02,13:35:01,jimmykimmel,26053643.0,488,8135780,wiley_cyrus_,255288878,516,673,42,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:02:01.000000000,71.40495868,1.304263566,795983469172183040
795983482690408448,7.959829639093576e+17,13:37:05,13:35:01,jimmykimmel,26053643.0,488,8135780,mgmoody42,33029207,806,166,42,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:02:04.000000000,69.67741935,0.205955335,795983482690408448
795983487853596673,7.959829639093576e+17,13:37:06,13:35:01,jimmykimmel,26053643.0,488,8135780,C_R_MacDonald,7.09081E+17,441,252,43,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:02:05.000000000,69.12,0.571428571,795983487853596673
795983491183902720,7.959829639093576e+17,13:37:07,13:35:01,jimmykimmel,26053643.0,488,8135780,ashyken,35235183,219,113,44,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:02:06.000000000,68.57142857,0.515981735,795983491183902720
795983497458569216,7.959829639093576e+17,13:37:09,13:35:01,jimmykimmel,26053643.0,488,8135780,JtheKruse,890495882,1479,222,45,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:02:08.000000000,67.5,0.15010142,795983497458569216
795983501740736512,7.959829639093576e+17,13:37:10,13:35:01,jimmykimmel,26053643.0,488,8135769,mclarent,18917246,349,190,46,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:02:09.000000000,66.97674419,0.544412607,795983501740736512
795983508292255744,7.959829639093576e+17,13:37:11,13:35:01,jimmykimmel,26053643.0,488,8135769,Poseidon8734,3062437901,937,707,47,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:02:10.000000000,66.46153846,0.754535752,795983508292255744
795983520317534208,7.959829639093576e+17,13:37:14,13:35:01,jimmykimmel,26053643.0,488,8135780,TiffanyRMelvin,29567850,154,47,48,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:02:13.000000000,64.96240602,0.305194805,795983520317534208
795983522699866112,7.959829639093576e+17,13:37:15,13:35:01,jimmykimmel,26053643.0,488,8135780,CALLReza,25243796,2301,1104,49,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:02:14.000000000,64.47761194,0.479791395,795983522699866112
795983528731283456,7.959829639093576e+17,13:37:16,13:35:01,jimmykimmel,26053643.0,488,8135780,justcabello1997,7.68102E+17,180,446,50,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:02:15.000000000,64,2.477777778,795983528731283456
795983529326866432,7.959829639093576e+17,13:37:16,13:35:01,jimmykimmel,26053643.0,488,8135780,dallas__4968,2249818813,742,743,51,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:02:15.000000000,64,1.001347709,795983529326866432
795983533634441216,7.959829639093576e+17,13:37:17,13:35:01,jimmykimmel,26053643.0,488,8135780,freebeergregg,408791094,442,15965,52,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:02:16.000000000,63.52941176,36.1199095,795983533634441216
795983543209967616,7.959829639093576e+17,13:37:20,13:35:01,jimmykimmel,26053643.0,488,8135780,InfamousTioAL,180206676,2152,1382,53,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:02:19.000000000,62.15827338,0.642193309,795983543209967616
795983543541387268,7.959829639093576e+17,13:37:20,13:35:01,jimmykimmel,26053643.0,488,8135780,littoq_,2322652071,677,724,54,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:02:19.000000000,62.15827338,1.069423929,795983543541387268
795983548381532160,7.959829639093576e+17,13:37:21,13:35:01,jimmykimmel,26053643.0,488,8135780,brandicheb,254596897,616,137,55,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:02:20.000000000,61.71428571,0.222402597,795983548381532160
795983549878792192,7.959829639093576e+17,13:37:21,13:35:01,jimmykimmel,26053643.0,488,8135769,Teesus,26342471,2163,3323,56,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:02:20.000000000,61.71428571,1.536292187,795983549878792192
795983552085196801,7.959829639093576e+17,13:37:22,13:35:01,jimmykimmel,26053643.0,488,8135780,lord_anarchy,1280203669,1161,50362,57,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:02:21.000000000,61.27659574,43.37812231,795983552085196801
795983559291011073,7.959829639093576e+17,13:37:23,13:35:01,jimmykimmel,26053643.0,488,8135780,iNasidi,53886780,1145,553,58,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:02:22.000000000,60.84507042,0.482969432,795983559291011073
795983559852957697,7.959829639093576e+17,13:37:23,13:35:01,jimmykimmel,26053643.0,488,8135780,missingreels,3300469492,86,97,58,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:02:22.000000000,60.84507042,1.127906977,795983559852957697
795983562608705538,7.959829639093576e+17,13:37:24,13:35:01,jimmykimmel,26053643.0,488,8135780,ArvinHenry,1363049130,286,23,59,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:02:23.000000000,60.41958042,0.08041958,795983562608705538
795983562893914113,7.959829639093576e+17,13:37:24,13:35:01,jimmykimmel,26053643.0,488,8135780,bartupah,717131676,957,489,59,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:02:23.000000000,60.41958042,0.510971787,795983562893914113
795983571085361152,7.959829639093576e+17,13:37:26,13:35:01,jimmykimmel,26053643.0,488,8135779,ScottJames_412,61329823,309,418,61,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:02:25.000000000,59.5862069,1.352750809,795983571085361152
795983571899088900,7.959829639093576e+17,13:37:26,13:35:01,jimmykimmel,26053643.0,488,8135779,TheHaroldReyes,991732430,577,283,62,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:02:25.000000000,59.5862069,0.490467938,795983571899088900
795983576655339521,7.959829639093576e+17,13:37:27,13:35:01,jimmykimmel,26053643.0,488,8135779,Josue_Aguiluz,1220379144,208,310,63,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:02:26.000000000,59.17808219,1.490384615,795983576655339521
795983579293646848,7.959829639093576e+17,13:37:28,13:35:01,jimmykimmel,26053643.0,488,8135779,305Pirate,21469302,611,997,63,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:02:27.000000000,58.7755102,1.631751227,795983579293646848
795983584205144068,7.959829639093576e+17,13:37:29,13:35:01,jimmykimmel,26053643.0,488,8135779,SteveTSRA,116734678,936,473,64,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:02:28.000000000,58.37837838,0.50534188,795983584205144068
795983589712261120,7.959829639093576e+17,13:37:31,13:35:01,jimmykimmel,26053643.0,488,8135778,sallamm446,7.8978E+17,77,80,65,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:02:30.000000000,57.6,1.038961039,795983589712261120
795983590769197056,7.959829639093576e+17,13:37:31,13:35:01,jimmykimmel,26053643.0,488,8135778,BeccaR99,357706824,373,132,66,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:02:30.000000000,57.6,0.353887399,795983590769197056
795983596079157248,7.959829639093576e+17,13:37:32,13:35:01,jimmykimmel,26053643.0,488,8135778,JHarriettha,7.63921E+17,219,112,67,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:02:31.000000000,57.21854305,0.511415525,795983596079157248
795983600311267328,7.959829639093576e+17,13:37:33,13:35:01,jimmykimmel,26053643.0,488,8135777,ConnorSchell,24055603,357,1907,68,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:02:32.000000000,56.84210526,5.341736695,795983600311267328
795983602643333120,7.959829639093576e+17,13:37:34,13:35:01,jimmykimmel,26053643.0,488,8135777,SilviaAnasasi,93866260,378,78,69,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:02:33.000000000,56.47058824,0.206349206,795983602643333120
795983608922173440,7.959829639093576e+17,13:37:35,13:35:01,jimmykimmel,26053643.0,488,8135777,ESneadDaBomb,345493657,1132,297,70,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:02:34.000000000,56.1038961,0.262367491,795983608922173440
795983610620809216,7.959829639093576e+17,13:37:36,13:35:01,jimmykimmel,26053643.0,488,8135777,goat_musings,450052764,637,263,71,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:02:35.000000000,55.74193548,0.412872841,795983610620809216
795983614907469824,7.959829639093576e+17,13:37:37,13:35:01,jimmykimmel,26053643.0,488,8135777,jaron_vasquez,3735718637,187,114,72,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:02:36.000000000,55.38461538,0.609625668,795983614907469824
795983618518712320,7.959829639093576e+17,13:37:37,13:35:01,jimmykimmel,26053643.0,488,8135777,atomicpunk13,274683355,114,77,73,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:02:36.000000000,55.38461538,0.675438596,795983618518712320
795983627939155968,7.959829639093576e+17,13:37:40,13:35:01,jimmykimmel,26053643.0,488,8135777,_Fuckingvega,587996022,1180,1228,75,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:02:39.000000000,54.33962264,1.040677966,795983627939155968
795983628354330624,7.959829639093576e+17,13:37:40,13:35:01,jimmykimmel,26053643.0,488,8135777,lcf42,19408886,998,929,76,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:02:39.000000000,54.33962264,0.930861723,795983628354330624
795983631067906050,7.959829639093576e+17,13:37:40,13:35:01,jimmykimmel,26053643.0,488,8135766,uptown_one,1450422866,2691,1190,77,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:02:39.000000000,54.33962264,0.44221479,795983631067906050
795983635761528832,7.959829639093576e+17,13:37:42,13:35:01,jimmykimmel,26053643.0,488,8135777,robincalhoun6,614880981,1471,66,78,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:02:41.000000000,53.66459627,0.044867437,795983635761528832
795983638248693760,7.959829639093576e+17,13:37:42,13:35:01,jimmykimmel,26053643.0,488,8135777,bluekel,37454135,585,589,79,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:02:41.000000000,53.66459627,1.006837607,795983638248693760
795983643206238208,7.959829639093576e+17,13:37:43,13:35:01,jimmykimmel,26053643.0,488,8135766,Shitter03757773,7.06577E+17,73,3,80,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:02:42.000000000,53.33333333,0.04109589,795983643206238208
795983659790581760,7.959829639093576e+17,13:37:47,13:35:01,jimmykimmel,26053643.0,488,8135765,LuciaLiliana,80711020,562,46,81,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:02:46.000000000,52.04819277,0.081850534,795983659790581760
795983671689936898,7.959829639093576e+17,13:37:50,13:35:01,jimmykimmel,26053643.0,488,8135776,CalebRyman,1045789716,244,76,82,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:02:49.000000000,51.12426036,0.31147541,795983671689936898
795983675070513154,7.959829639093576e+17,13:37:51,13:35:01,jimmykimmel,26053643.0,488,8135776,melodysworld_,47246767,644,641,83,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:02:50.000000000,50.82352941,0.995341615,795983675070513154
795983685707268098,7.959829639093576e+17,13:37:53,13:35:01,jimmykimmel,26053643.0,488,8135774,heysammycat,18873165,211,63,84,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:02:52.000000000,50.23255814,0.298578199,795983685707268098
795983688660111361,7.959829639093576e+17,13:37:54,13:35:01,jimmykimmel,26053643.0,488,8135774,oliana90986045,2468068772,109,13,85,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:02:53.000000000,49.94219653,0.119266055,795983688660111361
795983697929469952,7.959829639093576e+17,13:37:56,13:35:01,jimmykimmel,26053643.0,488,8135776,holly70492856,2851824215,175,39,86,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:02:55.000000000,49.37142857,0.222857143,795983697929469952
795983698692833280,7.959829639093576e+17,13:37:57,13:35:01,jimmykimmel,26053643.0,488,8135776,finding_naeemah,352421634,1326,1489,86,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:02:56.000000000,49.09090909,1.122926094,795983698692833280
795983704376143872,7.959829639093576e+17,13:37:58,13:35:01,jimmykimmel,26053643.0,488,8135776,mmagin35,2744931285,294,106,88,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:02:57.000000000,48.81355932,0.360544218,795983704376143872
795983705508577280,7.959829639093576e+17,13:37:58,13:35:01,jimmykimmel,26053643.0,488,8135776,monikabwatson,2945011552,260,54,89,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:02:57.000000000,48.81355932,0.207692308,795983705508577280
795983713645580289,7.959829639093576e+17,13:38:00,13:35:01,jimmykimmel,26053643.0,488,8135776,Bullerdrengen,999074934,600,62,90,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:02:59.000000000,48.26815642,0.103333333,795983713645580289
795983752581222400,7.959829639093576e+17,13:38:09,13:35:01,jimmykimmel,26053643.0,488,8135776,reillymills,581828430,369,398,94,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:03:08.000000000,45.95744681,1.078590786,795983752581222400
795983753873133568,7.959829639093576e+17,13:38:10,13:35:01,jimmykimmel,26053643.0,488,8135776,laisgoncalves2,116439951,430,669,95,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:03:09.000000000,45.71428571,1.555813953,795983753873133568
795983759875174400,7.959829639093576e+17,13:38:11,13:35:01,jimmykimmel,26053643.0,488,8135776,Hangie30,43161403,203,27,96,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:03:10.000000000,45.47368421,0.133004926,795983759875174400
795983772571365376,7.959829639093576e+17,13:38:14,13:35:01,jimmykimmel,26053643.0,488,8135776,Patty_Coffey,144212764,898,332,97,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:03:13.000000000,44.76683938,0.369710468,795983772571365376
795983775100530688,7.959829639093576e+17,13:38:15,13:35:01,jimmykimmel,26053643.0,488,8135776,Roxane_I_am,250951895,372,34,98,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:03:14.000000000,44.53608247,0.091397849,795983775100530688
795983784202108928,7.959829639093576e+17,13:38:17,13:35:01,jimmykimmel,26053643.0,488,8135776,deyowe,23198450,70,10,99,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC,0 days 00:03:16.000000000,44.08163265,0.142857143,795983784202108928
